tienda,mes,center_name,region,zona,postal_code_area,fase,model,estado_veterana,n_dias,uds_dia_media,uds_total_mes,tiempo_efectivo_min,tiempo_con_paradas_min,tiempo_de_paradas_min,prod_efectiva_min_ud,prod_conparadas_min_ud,dif_prod_efectiva_vs_obj,dif_prod_conparadas_vs_obj,caudal_optimo_h,caudal_efectivo_h,caudal_real_h,diferencia_caudal_h,caudal_optimo_h_total,caudal_efectivo_h_total,caudal_real_h_total,diferencia_caudal_h_total
3855,1/8/2025,3855 - Cruz Chica (San Cristobal De La Laguna),R05,Z12,Cruz Chica (San Cristobal De La Laguna),Veterana,NTC60,Veterana,25,"3.404,36",85.109,"1.008,8","1.069,16","60,36","0,2977","0,3151","-0,02","0,0001","17,87","16,81","17,82","-0,1","446,82","420,33","445,48","-1,34"
3860,1/8/2025,3860 - Cubelles (Cubelles),R02,Z56,Cubelles (Cubelles),Veterana,NTC90,Veterana,25,"4.070,08",101.752,"1.553,32","1.676,68","123,36","0,3817","0,4109","0,0667","0,0959","21,37","25,89","27,95","6,58","534,2","647,22","698,62","164,42"
3864,1/8/2025,3864 - Hoya De La Plata (Las Palmas De Gran Canaria),R05,Z28,Hoya De La Plata (Las Palmas De Gran Canaria),Veterana,NTC60,Veterana,25,2.256,56.400,"820,28","890,92","70,64","0,3665","0,3971","0,0515","0,0821","11,84","13,67","14,85",3,"296,1","341,78","371,22","75,12"
3880,1/8/2025,3880 - El Tercer Barrio (Palencia),R09,Z27,El Tercer Barrio (Palencia),Veterana,NTC30,Veterana,25,"1.339,36",33.484,"479,6","500,44","20,84","0,3621","0,3783","0,0471","0,0633","7,03","7,99","8,34","1,31","175,79","199,83","208,52","32,73"
3885,1/8/2025,3885 - Puerto Del Rosario (Puerto Del Rosario),R05,Z12,Puerto Del Rosario (Puerto Del Rosario),Veterana,NTC90,Veterana,25,"3.845,44",96.136,"1.190,32","1.277,52","87,2","0,3115","0,3347",-0,"0,0197","20,19","19,84","21,29","1,1","504,71","495,97","532,3","27,59"
3902,1/8/2025,3902 - Argana (Arrecife),R05,Z12,Argana (Arrecife),Veterana,NTC90,Veterana,25,"3.469,56",86.739,"1.006,68","1.055,92","49,24","0,2902","0,3038","-0,02","-0,01","18,21","16,78","17,6","-0,62","455,38","419,45","439,97","-15,41"
3905,1/8/2025,3905 - San Cristóbal (Almuñecar),R06,Z18,San Cristóbal (Almuñecar),Veterana,NTC120,No veterana,25,"5.375,64",134.391,"2.215,88","2.297,4","81,52","0,4082","0,4229","0,0932","0,1079","28,22","36,93","38,29","10,07","705,55","923,28","957,25","251,7"
3919,1/8/2025,3919 - Campohermoso (Nijar),R07,Z25,Campohermoso (Nijar),Veterana,NTC90,Veterana,25,"1.993,52",49.838,"675,2","696,68","21,48","0,3399","0,351","0,0249","0,036","10,47","11,25","11,61","1,15","261,65","281,33","290,28","28,63"
3928,1/8/2025,3928 - Alfaro (Alfaro),R08,Z52,Alfaro (Alfaro),Veterana,NTC30,No veterana,24,"1.419,46",34.067,"518,54","542,29","23,75","0,3739","0,3926","0,0589","0,0776","7,45","8,64","9,04","1,59","178,85","207,42","216,92","38,06"
3930,1/8/2025,3930 - Las Californias (Miranda De Ebro),R09,Z51,Las Californias (Miranda De Ebro),Veterana,NTC60,Veterana,25,"1.847,36",46.184,"504,24","515,8","11,56","0,2757","0,2818","-0,04","-0,03","9,7","8,4","8,6","-1,1","242,47","210,1","214,92","-27,55"
3947,1/8/2025,3947 - Camp Clar (Tarragona),R02,Z05,Camp Clar (Tarragona),Veterana,NTC90,Veterana,24,"4.459,88",107.037,"1.382,21","1.501,92","119,71","0,311","0,3377",-0,"0,0227","23,41","23,04","25,03","1,62","561,94","552,88","600,77","38,82"
3950,1/8/2025,3950 - Mora D'ebre (Mora D'ebre),R02,Z05,Mora D'ebre (Mora D'ebre),Veterana,NTC60,No veterana,24,"591,33",14.192,"226,71","233,83","7,13","0,3901","0,403","0,0751","0,088","3,1","3,78","3,9","0,793","74,51","90,68","93,53","19,03"
3951,1/8/2025,3951 - Bell-Lloc (Girona),R02,Z24,Bell-Lloc (Girona),Veterana,NTC60,Veterana,25,"3.226,76",80.669,"1.152,8","1.205,68","52,88","0,3601","0,3763","0,0451","0,0613","16,94","19,21","20,09","3,15","423,51","480,33","502,37","78,85"
3964,1/8/2025,3964 - P. C. Camino Real (San Fernando De Henares),R04,Z49,P. C. Camino Real (San Fernando De Henares),Veterana,NTC90,No veterana,25,"3.787,16",94.679,"1.240,12","1.272,32","32,2","0,3304","0,339","0,0154","0,024","19,88","20,67","21,2","1,32","497,06","516,72","530,13","33,07"
3968,1/8/2025,3968 - El Florío (Granada),R06,Z18,El Florío (Granada),Veterana,NTC150,Veterana,25,"6.381,36",159.534,"1.977,76","2.065,04","87,28","0,3111","0,3251",-0,"0,0101","33,5","32,96","34,42","0,915","837,55","824,07","860,43","22,88"
3973,1/8/2025,3973 - El Botafoc (El Vendrell),R02,Z56,El Botafoc (El Vendrell),Veterana,NTC60,Veterana,25,"3.456,36",86.409,"1.154,88","1.236,44","81,56","0,335","0,3587","0,02","0,0437","18,15","19,25","20,61","2,46","453,65","481,2","515,18","61,54"
3975,1/8/2025,3975 - Coma-Ruga (El Vendrell),R02,Z05,Coma-Ruga (El Vendrell),Veterana,NTC90,Veterana,25,"3.050,44",76.261,"1.139,64","1.217,84","78,2","0,3778","0,4042","0,0628","0,0892","16,02","18,99","20,3","4,28","400,37","474,85","507,43","107,06"
3996,1/8/2025,3996 - Sant Sadurní (Sant Sadurni D'anoia),R08,Z36,Sant Sadurní (Sant Sadurni D'anoia),Veterana,NTC60,Veterana,25,"3.261,64",81.541,"960,76","1.051,96","91,2","0,2948","0,3229",-0,"0,0079","17,12","16,01","17,53","0,409","428,09","400,32","438,32","10,23"
4022,1/8/2025,4022 - Butihondo (Pajara),R05,Z12,Butihondo (Pajara),Veterana,NTC60,Veterana,25,"2.456,64",61.416,"760,2","856,52","96,32","0,3085","0,348",-0,"0,033","12,9","12,67","14,28","1,38","322,43","316,75","356,88","34,45"
4025,1/8/2025,4025 - Olot (Olot),R02,Z24,Olot (Olot),Veterana,NTC30,No veterana,25,"1.241,8",31.045,"447,88","482,88",35,"0,3749","0,4075","0,0599","0,0925","6,52","7,46","8,05","1,53","162,99","186,62","201,2","38,21"
4028,1/8/2025,4028 - La Zubia (La Zubia),R06,Z18,La Zubia (La Zubia),Veterana,NTC60,Veterana,25,"2.093,36",52.334,"608,6","696,84","88,24","0,2918","0,3348","-0,02","0,0198","10,99","10,14","11,61","0,624","274,75","253,58","290,35","15,6"
4030,1/8/2025,4030 - Carrer De La Piera (Vilanova I La Geltru),R02,Z56,Carrer De La Piera (Vilanova I La Geltru),Veterana,NTC120,No veterana,24,"3.544,33",85.064,"1.433,42","1.485,88","52,46","0,4037","0,4181","0,0887","0,1031","18,61","23,89","24,77","6,16","446,59","573,37","594,35","147,76"
4033,1/8/2025,4033 - Lloret (Lloret De Mar),R02,Z24,Lloret (Lloret De Mar),Veterana,NTC90,No veterana,25,2.334,58.350,"886,16","935,44","49,28","0,3794","0,4006","0,0644","0,0856","12,25","14,77","15,59","3,34","306,34","369,23","389,77","83,43"
4045,1/8/2025,4045 - Valdenoja (Santander),R09,Z51,Valdenoja (Santander),Veterana,NTC60,Veterana,25,"2.992,6",74.815,"1.062,96","1.159,04","96,08","0,3554","0,3877","0,0404","0,0727","15,71","17,72","19,32","3,61","392,78","442,9","482,93","90,15"
4055,1/8/2025,4055 - Urb. Las Arenas (Malpartida De Caceres),R10,Z31,Urb. Las Arenas (Malpartida De Caceres),Veterana,NTC90,Veterana,25,3.518,87.950,"1.253,68","1.308,48","54,8","0,3597","0,3754","0,0447","0,0604","18,47","20,89","21,81","3,34","461,74","522,37","545,2","83,46"
4065,1/8/2025,4065 - A Sionlla (Santiago De Compostela),R01,Z38,A Sionlla (Santiago De Compostela),Veterana,NTC60,Veterana,24,"1.956,92",46.966,"642,54","668,92","26,38","0,3352","0,3488","0,0202","0,0338","10,27","10,71","11,15","0,875","246,57","257,02","267,57",21
4068,1/8/2025,4068 - C/ Sant Jaume (Vic),R02,Z20,C/ Sant Jaume (Vic),Veterana,NTC120,Veterana,25,"4.987,56",124.689,"1.659,56","1.769,24","109,68","0,3361","0,3577","0,0211","0,0427","26,18","27,66","29,49","3,3","654,62","691,48","737,18","82,57"
4069,1/8/2025,4069 - Tordera (Tordera),R02,Z24,Tordera (Tordera),Veterana,NTC90,Veterana,24,"5.633,5",135.204,"1.736,21","1.783,42","47,21","0,3092","0,3175",-0,"0,0025","29,58","28,94","29,72","0,148","709,82","694,48","713,37","3,55"
4074,1/8/2025,4074 - Vía Augusta (Tarragona),R02,Z05,Vía Augusta (Tarragona),Veterana,NTC30,No veterana,24,"1.394,54",33.469,"518,17","557,46","39,29","0,3752","0,4038","0,0602","0,0888","7,32","8,64","9,29","1,97","175,71","207,27","222,98","47,27"
4077,1/8/2025,4077 - Ctra. Riaza (Segovia),R09,Z41,Ctra. Riaza (Segovia),Veterana,NTC60,Veterana,25,"2.559,64",63.991,"823,88","882,16","58,28","0,3228","0,346","0,0078","0,031","13,44","13,73","14,7","1,26","335,95","343,28","367,57","31,61"
4097,1/8/2025,4097 - La Girada (Vilafranca Del Penedes),R08,Z36,La Girada (Vilafranca Del Penedes),Veterana,NTC90,Veterana,24,"4.571,71",109.721,"1.537,08","1.619,33","82,25","0,3384","0,3568","0,0234","0,0418",24,"25,62","26,99","2,99","576,04","614,83","647,73","71,7"
4113,1/8/2025,4113 - Cassà (Cassa De La Selva),R02,Z24,Cassà (Cassa De La Selva),Veterana,NTC90,Veterana,25,"3.527,96",88.199,"1.065,12","1.104,84","39,72","0,3032","0,3147","-0,01",-0,"18,52","17,75","18,41","-0,1","463,04","443,8","460,35","-2,69"
4115,1/8/2025,4115 - Copa D'or (Lleida),R08,Z44,Copa D'or (Lleida),Veterana,NTC60,Veterana,25,"2.501,48",62.537,"858,04","904,12","46,08","0,3492","0,3681","0,0342","0,0531","13,13","14,3","15,07","1,94","328,32","357,52","376,72","48,4"
4140,1/8/2025,4140 - Avda. Madrid 108 (Vigo),R01,Z30,Avda. Madrid 108 (Vigo),Veterana,NTC90,Veterana,25,"4.498,72",112.468,"1.359,28","1.434,48","75,2","0,3029","0,3199","-0,01","0,0049","23,62","22,66","23,91","0,29","590,46","566,37","597,7","7,24"
4149,1/8/2025,4149 - Masquefa (Masquefa),R08,Z36,Masquefa (Masquefa),Veterana,NTC120,No veterana,8,"3.388,5",27.108,"1.831,38","1.970,62","139,25","0,5603","0,6076","0,2453","0,2926","17,79","30,52","32,84","15,05","142,32","244,18","262,75","120,43"
4166,1/8/2025,4166 - O Seixo (Oleiros),R01,Z38,O Seixo (Oleiros),Veterana,NTC90,Veterana,25,"4.665,72",116.643,"1.596,12","1.678,64","82,52","0,3433","0,3608","0,0283","0,0458","24,5","26,6","27,98","3,48","612,38","665,05","699,43","87,06"
4168,1/8/2025,4168 - Hospital De Los Marqueses (Linares),R06,Z47,Hospital De Los Marqueses (Linares),Veterana,NTC60,Veterana,23,"2.523,22",58.034,"882,39",925,"42,61","0,3507","0,3672","0,0357","0,0522","13,25","14,71","15,42","2,17","304,68","338,25","354,58","49,9"
4203,1/8/2025,4203 - Expo (Zaragoza),R08,Z22,Expo (Zaragoza),Veterana,NTC60,Veterana,25,"2.418,32",60.458,"774,12","815,76","41,64","0,3212","0,3389","0,0062","0,0239","12,7","12,9","13,6","0,9","317,4","322,55","339,9","22,5"
4211,1/8/2025,4211 - Avda. Narangel (Tudela),R08,Z52,Avda. Narangel (Tudela),Veterana,NTC30,Veterana,25,1.569,39.225,"610,84","641,6","30,76","0,3908","0,4092","0,0758","0,0942","8,24","10,18","10,69","2,46","205,93","254,52","267,33","61,4"
4229,1/8/2025,4229 - Avda. San Jorge (Pamplona/Iruña),R08,Z52,Avda. San Jorge (Pamplona/Iruña),Veterana,NTC120,Veterana,25,"6.005,76",150.144,"1.919,48","1.978,72","59,24","0,3194","0,3289","0,0044","0,0139","31,53","31,99","32,98","1,45","788,26","799,78","824,47","36,21"
4230,1/8/2025,4230 - Pol. Iturrondo (Burlada/Burlata),R08,Z52,Pol. Iturrondo (Burlada/Burlata),Veterana,NTC60,Veterana,25,"3.343,76",83.594,"1.045,24","1.083,72","38,48","0,3124","0,3239",-0,"0,0089","17,55","17,42","18,06","0,507","438,87","435,52","451,55","12,68"
4241,1/8/2025,4241 - El Balconcillo (Guadalajara),R10,Z23,El Balconcillo (Guadalajara),Veterana,NTC120,Veterana,25,"6.522,24",163.056,"2.091,04","2.204,68","113,64","0,3224","0,3403","0,0074","0,0253","34,24","34,85","36,74","2,5","856,04","871,27","918,62","62,57"
4246,1/8/2025,4246 - Les Gavarres (Tarragona),R02,Z05,Les Gavarres (Tarragona),Veterana,NTC60,Veterana,24,"3.063,25",73.518,"1.133,79","1.194,08","60,29","0,3743","0,3947","0,0593","0,0797","16,08","18,9","19,9","3,82","385,97","453,52","477,63","91,66"
4267,1/8/2025,4267 - Ali-Gobeo (Vitoria-Gasteiz),R08,Z42,Ali-Gobeo (Vitoria-Gasteiz),Veterana,NTC60,Veterana,24,"2.693,25",64.638,"896,63","937,33","40,71","0,3352","0,3499","0,0202","0,0349","14,14","14,94","15,62","1,48","339,35","358,65","374,93","35,58"
4281,1/8/2025,4281 - Basauri (Basauri),R08,Z42,Basauri (Basauri),Veterana,NTC90,Veterana,25,3.777,94.425,"1.166,08","1.193,16","27,08","0,3103","0,3171",-0,"0,0021","19,83","19,43","19,89","0,057","495,73","485,87","497,15","1,42"
4289,1/8/2025,4289 - Vallirana (Vallirana),R08,Z36,Vallirana (Vallirana),Veterana,NTC60,No veterana,19,"1.491,47",28.338,"713,05","770,58","57,53","0,494","0,5355","0,179","0,2205","7,83","11,88","12,84","5,01","148,77","225,8","244,02","95,24"
4290,1/8/2025,4290 - Araso (Irun),R08,Z52,Araso (Irun),Veterana,NTC90,Veterana,25,5.890,147.250,"1.790,72","1.829,44","38,72","0,3046","0,3111",-0,-0,"30,92","29,84","30,49","-0,43","773,06","746,13","762,27","-10,8"
4293,1/8/2025,4293 - La Avanzada (Leioa),R08,Z42,La Avanzada (Leioa),Veterana,NTC90,Veterana,25,"3.761,28",94.032,"1.115,16","1.151,44","36,28","0,2996","0,3099","-0,02",-0,"19,75","18,59","19,19","-0,56","493,67","464,65","479,77","-13,9"
4296,1/8/2025,4296 - Amaia Kalea (Leioa),R08,Z42,Amaia Kalea (Leioa),Veterana,NTC90,No veterana,25,"2.714,68",67.867,"830,72","864,92","34,2","0,3103","0,3218",-0,"0,0068","14,25","13,85","14,41","0,163","356,3","346,13","360,38","4,08"
4303,1/8/2025,4303 - Avda. Apel.Les Mestres (El Prat De Llobregat),R02,Z56,Avda. Apel.Les Mestres (El Prat De Llobregat),Veterana,NTC60,No veterana,25,"1.120,16",28.004,"632,84","670,2","37,36","0,5829","0,6159","0,2679","0,3009","5,88","10,55","11,17","5,29","147,02","263,68","279,25","132,23"
4308,1/8/2025,4308 - Berango (Berango),R08,Z42,Berango (Berango),Veterana,NTC90,Veterana,24,"4.268,63",102.447,"1.451,29","1.487,21","35,92","0,3435","0,3519","0,0285","0,0369","22,41","24,19","24,79","2,38","537,85","580,52","594,88","57,04"
4311,1/8/2025,4311 - P. C. Motril (Motril),R06,Z18,P. C. Motril (Motril),Veterana,NTC120,Veterana,25,"4.709,64",117.741,"1.585,04","1.618,28","33,24","0,3369","0,3441","0,0219","0,0291","24,73","26,42","26,97","2,25","618,14","660,43","674,28","56,14"
4313,1/8/2025,4313 - La Bisbal (La Bisbal D'emporda),R02,Z24,La Bisbal (La Bisbal D'emporda),Veterana,NTC120,Veterana,25,"4.748,52",118.713,"1.626,52","1.693,96","67,44","0,3431","0,3571","0,0281","0,0421","24,93","27,11","28,23","3,3","623,24","677,72","705,82","82,57"
4315,1/8/2025,4315 - El Hospitalillo (Aviles),R09,Z32,El Hospitalillo (Aviles),Veterana,NTC60,Veterana,24,"1.890,21",45.365,"603,88","644,17","40,29","0,3208","0,3427","0,0058","0,0277","9,92","10,06","10,74","0,813","238,17","241,55","257,67","19,5"
4331,1/8/2025,4331 - Belartza (Donostia/San Sebastián),R08,Z52,Belartza (Donostia/San Sebastián),Veterana,NTC60,Veterana,25,"3.364,48",84.112,"1.170,64","1.204,56","33,92","0,3513","0,3614","0,0363","0,0464","17,66","19,51","20,08","2,41","441,59","487,77","501,9","60,31"
4346,1/8/2025,4346 - Capiscol (Burgos),R09,Z51,Capiscol (Burgos),Veterana,NTC60,Veterana,25,"2.949,92",73.748,"928,04","975,12","47,08","0,3185","0,3348","0,0035","0,0198","15,49","15,47","16,25","0,765","387,18","386,68","406,3","19,12"
4354,1/8/2025,4354 - C. C. Torrecárdenas (Almeria),R07,Z25,C. C. Torrecárdenas (Almeria),Veterana,NTC90,Veterana,24,"4.909,67",117.832,"1.511,54","1.625,33","113,79","0,3081","0,3315",-0,"0,0165","25,78","25,19","27,09","1,31","618,62","604,62","650,13","31,52"
4364,1/8/2025,4364 - Andoain (Andoain),R08,Z52,Andoain (Andoain),Veterana,NTC90,Veterana,25,5.549,138.725,"1.840,24","1.916,88","76,64","0,3321","0,346","0,0171","0,031","29,13","30,67","31,95","2,82","728,31","766,77","798,7","70,39"
4367,1/8/2025,4367 - Lanbarren (Oiartzun),R08,Z52,Lanbarren (Oiartzun),Veterana,NTC30,Veterana,23,"1.183,43",27.219,"424,13","441,39","17,26","0,3693","0,3838","0,0543","0,0688","6,21","7,07","7,36","1,14","142,9","162,58","169,2","26,3"
4375,1/8/2025,4375 - Avda. Burgos (Logroño),R08,Z52,Avda. Burgos (Logroño),Veterana,NTC30,Veterana,25,3.218,80.450,"1.039,8","1.072,4","32,6","0,326","0,3363","0,011","0,0213","16,89","17,33","17,87","0,979","422,36","433,25","446,83","24,47"
4377,1/8/2025,4377 - Puerto Rico (Mogan),R05,Z28,Puerto Rico (Mogan),Veterana,NTC90,Veterana,25,"2.403,64",60.091,"755,52","826,2","70,68","0,3174","0,3474","0,0024","0,0324","12,62","12,59","13,77","1,15","315,48","314,8","344,25","28,77"
4383,1/8/2025,4383 - Breña Alta (Breña Alta),R05,Z12,Breña Alta (Breña Alta),Veterana,NTC60,Veterana,24,"2.587,71",62.105,"961,96","985,38","23,42","0,3717","0,3805","0,0567","0,0655","13,59","16,03","16,42","2,84","326,05","384,78","394,15","68,1"
4385,1/8/2025,4385 - Ctra. De Onda (Vila-Real),R03,Z45,Ctra. De Onda (Vila-Real),Veterana,NTC90,Veterana,25,"1.745,48",43.637,"523,84","535,68","11,84","0,3019","0,3088","-0,01",-0,"9,16","8,73","8,93","-0,24","229,09","218,27","223,2","-5,89"
4389,1/8/2025,4389 - Barrio Del Socorro (Huesca),R08,Z44,Barrio Del Socorro (Huesca),Veterana,NTC60,Veterana,24,"1.377,88",33.069,"452,17","474,63","22,46","0,334","0,3504","0,019","0,0354","7,23","7,54","7,91","0,677","173,61","180,87","189,85","16,24"
4391,1/8/2025,4391 - Galdakao (Galdakao),R08,Z42,Galdakao (Galdakao),Veterana,NTC90,Veterana,25,"3.892,68",97.317,"1.281,04","1.322,52","41,48","0,3355","0,3472","0,0205","0,0322","20,44","21,35","22,04","1,6","510,91","533,77","551,05","40,14"
4402,1/8/2025,4402 - Carlos V (Melilla),R06,Z15,Carlos V (Melilla),Veterana,NTC120,Veterana,25,"4.971,68",124.292,"1.801,8","1.929,68","127,88","0,3641","0,39","0,0491","0,075","26,1","30,03","32,16","6,06","652,53","750,75","804,03","151,5"
4410,1/8/2025,4410 - Avda. Príncipe De España (El Ejido),R07,Z25,Avda. Príncipe De España (El Ejido),Veterana,NTC120,Veterana,25,"5.068,48",126.712,"1.561,92","1.593,16","31,24","0,3089","0,3153",-0,"0,0003","26,61","26,03","26,55","-0,1","665,24","650,8","663,82","-1,42"
4413,1/8/2025,4413 - Cuesta Piedra (Santa Cruz De Tenerife),R05,Z12,Cuesta Piedra (Santa Cruz De Tenerife),Veterana,NTC90,Veterana,25,"3.771,88",94.297,"1.226,88","1.336,28","109,4","0,3273","0,3564","0,0123","0,0414","19,8","20,45","22,27","2,47","495,06","511,2","556,78","61,72"
4416,1/8/2025,4416 - La Plantera (Blanes),R02,Z24,La Plantera (Blanes),Veterana,NTC90,Veterana,25,"5.390,04",134.751,"1.653,04","1.721,52","68,48","0,3076","0,3204",-0,"0,0054","28,3","27,55","28,69","0,394","707,44","688,77","717,3","9,86"
4418,1/8/2025,4418 - Cruce De Melenara (Telde),R05,Z28,Cruce De Melenara (Telde),Veterana,NTC90,Veterana,25,"4.645,72",116.143,"1.572,68","1.691,24","118,56","0,3392","0,3645","0,0242","0,0495","24,39","26,21","28,19","3,8","609,75","655,28","704,68","94,93"
4421,1/8/2025,4421 - Vilanova Del Camí (Vilanova Del Cami),R08,Z44,Vilanova Del Camí (Vilanova Del Cami),Veterana,NTC90,Veterana,25,"4.841,6",121.040,"1.631,12","1.762,64","131,52","0,3379","0,3654","0,0229","0,0504","25,42","27,18","29,38","3,96","635,46","679,63","734,43","98,97"
4423,1/8/2025,4423 - L'alforja (Cambrils),R02,Z05,L'alforja (Cambrils),Veterana,NTC90,Veterana,25,"4.130,92",103.273,"1.439,48","1.474,48",35,"0,3467","0,3553","0,0317","0,0403","21,69","23,99","24,57","2,89","542,18","599,78","614,37","72,18"
4425,1/8/2025,4425 - C. C. Estepark (Castellon),R03,Z13,C. C. Estepark (Castellon),Veterana,NTC60,No veterana,25,"3.180,6",79.515,"1.227,04","1.260,84","33,8","0,3902","0,4006","0,0752","0,0856","16,7","20,45","21,01","4,32","417,45","511,27","525,35","107,9"
4427,1/8/2025,4427 - Utebo (Utebo),R08,Z22,Utebo (Utebo),Veterana,NTC30,Veterana,25,"1.792,92",44.823,"563,96","574,6","10,64","0,3176","0,3242","0,0026","0,0092","9,41","9,4","9,58","0,164","235,32","234,98","239,42","4,1"
4429,1/8/2025,4429 - Avda. Europa (Benissa),R03,Z40,Avda. Europa (Benissa),Veterana,NTC60,No veterana,25,"3.053,4",76.335,"1.099,2","1.141,68","42,48","0,3598","0,3731","0,0448","0,0581","16,03","18,32","19,03",3,"400,76",458,"475,7","74,94"
4434,1/8/2025,4434 - Valle De Güímar (Arafo),R05,Z54,Valle De Güímar (Arafo),Veterana,NTC90,Veterana,25,"3.427,08",85.677,"1.118,48","1.180,08","61,6","0,328","0,3468","0,013","0,0318","17,99","18,64","19,67","1,68","449,8","466,03","491,7","41,9"
4436,1/8/2025,4436 - Avda. España (Ceuta),R06,Z26,Avda. España (Ceuta),Veterana,NTC150,Veterana,24,"5.330,5",127.932,"1.933,37","1.983,88","50,5","0,3645","0,3743","0,0495","0,0593","27,98","32,22","33,06","5,08","671,64","773,35","793,55","121,91"
4443,1/8/2025,4443 - P. C. Lepesur (Lepe),R05,Z46,P. C. Lepesur (Lepe),Veterana,NTC90,Veterana,25,"5.188,96",129.724,"1.620,8","1.718,28","97,48","0,3148","0,3349",-0,"0,0199","27,24","27,01","28,64","1,4","681,05","675,33","715,95","34,9"
4450,1/8/2025,4450 - Infanta Elena (Lugo),R01,Z38,Infanta Elena (Lugo),Veterana,NTC30,Veterana,25,"857,6",21.440,"302,2","313,24","11,04","0,3619","0,3765","0,0469","0,0615","4,5","5,04","5,22","0,718","112,56","125,92","130,52","17,96"
4458,1/8/2025,4458 - Cabra (Cabra),R06,Z17,Cabra (Cabra),Veterana,NTC60,Veterana,25,"2.894,52",72.363,"903,48","923,6","20,12","0,315","0,3217",0,"0,0067","15,2","15,06","15,39","0,197","379,91","376,45","384,83","4,93"
4471,1/8/2025,4471 - Ctra. Valladolid (Avila),R09,Z41,Ctra. Valladolid (Avila),Veterana,NTC60,Veterana,25,"1.329,2",33.230,"517,28","563,88","46,6","0,394","0,431","0,079","0,116","6,98","8,62","9,4","2,42","174,46","215,53","234,95","60,49"
4472,1/8/2025,4472 - Avda. Europa (La Vall D'uixo),R03,Z45,Avda. Europa (La Vall D'uixo),Veterana,NTC120,Veterana,25,"3.747,76",93.694,"1.055,2","1.087,96","32,76","0,2832","0,2922","-0,03","-0,02","19,68","17,59","18,13","-1,54","491,89","439,67","453,32","-38,58"
4476,1/8/2025,4476 - Vera Pueblo (Vera),R07,Z48,Vera Pueblo (Vera),Veterana,NTC120,Veterana,25,"6.507,4",162.685,"1.874,12","1.915,56","41,44","0,2887","0,295","-0,03",-0,"34,16","31,23","31,93","-2,24","854,1","780,88","798,15","-55,95"
4478,1/8/2025,4478 - Avda. Del Textil (Ontinyent),R03,Z09,Avda. Del Textil (Ontinyent),Veterana,NTC30,Veterana,24,"1.643,21",39.437,"530,75","552,63","21,88","0,3264","0,3399","0,0114","0,0249","8,63","8,85","9,21","0,584","207,04","212,3","221,05","14,01"
4480,1/8/2025,4480 - El Vasco (Oviedo),R09,Z32,El Vasco (Oviedo),Veterana,NTC120,Veterana,25,"5.075,36",126.884,"1.505,48","1.559,6","54,12","0,2967","0,3074","-0,02",-0,"26,65","25,09","25,99","-0,65","666,14","627,28","649,83","-16,31"
4483,1/8/2025,4483 - Ciempozuelos (Ciempozuelos),R10,Z43,Ciempozuelos (Ciempozuelos),Veterana,NTC120,Veterana,25,"4.864,28",121.607,1.769,"1.919,76","150,76","0,3644","0,3969","0,0494","0,0819","25,54","29,48",32,"6,46","638,44","737,08","799,9","161,46"
4491,1/8/2025,4491 - Joaquin Rodrigo (Zaragoza),R08,Z22,Joaquin Rodrigo (Zaragoza),Veterana,NTC90,Veterana,25,"3.600,64",90.016,"1.066,88","1.120,6","53,72","0,2996","0,314","-0,02",-0,"18,9","17,78","18,68","-0,23","472,58","444,53","466,92","-5,67"
4493,1/8/2025,4493 - La Almozara (Zaragoza),R08,Z22,La Almozara (Zaragoza),Veterana,NTC90,Veterana,25,"3.459,68",86.492,"1.139,08","1.177,4","38,32","0,3322","0,3428","0,0172","0,0278","18,16","18,98","19,62","1,46","454,08","474,62","490,58","36,5"
4506,1/8/2025,4506 - La Sedera (Reus),R02,Z05,La Sedera (Reus),Veterana,NTC60,Veterana,25,"4.835,08",120.877,"1.675,84","1.737,96","62,12","0,3467","0,3595","0,0317","0,0445","25,38","27,93","28,97","3,58","634,6","698,27","724,15","89,55"
4508,1/8/2025,4508 - Puerta De Cuartos (Talavera De La Reina),R10,Z55,Puerta De Cuartos (Talavera De La Reina),Veterana,NTC30,Veterana,25,"1.614,92",40.373,"563,92","579,56","15,64","0,3618","0,3727","0,0468","0,0577","8,48","9,4","9,66","1,18","211,96","234,97","241,48","29,53"
4522,1/8/2025,4522 - Alday (Camargo),R09,Z51,Alday (Camargo),Veterana,NTC120,Veterana,25,"7.311,96",182.799,"2.414,08","2.577,36","163,28","0,3304","0,3525","0,0154","0,0375","38,39","40,23","42,96","4,57","959,69","1.005,87","1.073,9","114,21"
4534,1/8/2025,4534 - Torrero (Zaragoza),R08,Z22,Torrero (Zaragoza),Veterana,NTC60,Veterana,25,"2.285,44",57.136,"649,48",682,"32,52","0,284","0,2983",-0,"-0,02",12,"10,82","11,37","-0,63","299,96","270,62","284,17","-15,8"
4537,1/8/2025,4537 - Avda. Fuerzas Armadas (Lorca),R07,Z48,Avda. Fuerzas Armadas (Lorca),Veterana,NTC60,Veterana,25,"3.365,8",84.145,"1.062,36","1.111,8","49,44","0,3168","0,3306","0,0018","0,0156","17,67","17,71","18,53","0,86","441,76","442,65","463,25","21,49"
