tienda,mes,center_name,region,zona,postal_code_area,fase,model,estado_veterana,n_dias,uds_dia_media,uds_total_mes,tiempo_efectivo_min,tiempo_con_paradas_min,tiempo_de_paradas_min,prod_efectiva_min_ud,prod_conparadas_min_ud,dif_prod_efectiva_vs_obj,dif_prod_conparadas_vs_obj,caudal_optimo_h,caudal_efectivo_h,caudal_real_h,diferencia_caudal_h,caudal_optimo_h_total,caudal_efectivo_h_total,caudal_real_h_total,diferencia_caudal_h_total
4478,1/7/2025,4478 - Avda. Del Textil (Ontinyent),R03,Z09,Avda. Del Textil (Ontinyent),Veterana,NTC30,Veterana,27,"1.693,07",45.713,"569,93","586,19","16,26","0,3424","0,352","0,0274","0,037","8,89","9,5","9,77","0,881","239,99","256,47","263,78","23,79"
4480,1/7/2025,4480 - El Vasco (Oviedo),R09,Z32,El Vasco (Oviedo),Veterana,NTC120,Veterana,27,"4.791,3",129.365,"1.439,93","1.478,07","38,15","0,3021","0,31","-0,01",-0,"25,15",24,"24,64","-0,52","679,17","647,97","665,13","-14,03"
4483,1/7/2025,4483 - Ciempozuelos (Ciempozuelos),R10,Z43,Ciempozuelos (Ciempozuelos),Veterana,NTC120,Veterana,26,"4.531,77",117.826,"1.824,12","1.933,96","109,85","0,4051","0,4295","0,0901","0,1145","23,79","30,4","32,23","8,44","618,59","790,45","838,05","219,46"
4491,1/7/2025,4491 - Joaquin Rodrigo (Zaragoza),R08,Z22,Joaquin Rodrigo (Zaragoza),Veterana,NTC90,Veterana,27,"3.658,07",98.768,"1.116,22","1.175,56","59,33","0,3079","0,3244",-0,"0,0094","19,2","18,6","19,59","0,388","518,53","502,3",529,"10,47"
4493,1/7/2025,4493 - La Almozara (Zaragoza),R08,Z22,La Almozara (Zaragoza),Veterana,NTC90,Veterana,27,"3.373,22",91.077,"1.181,59","1.240,59",59,"0,3584","0,3755","0,0434","0,0605","17,71","19,69","20,68","2,97","478,15","531,72","558,27","80,11"
4506,1/7/2025,4506 - La Sedera (Reus),R02,Z05,La Sedera (Reus),Veterana,NTC60,Veterana,27,"4.797,96",129.545,"1.762,7","1.837,93","75,22","0,3682","0,384","0,0532","0,069","25,19","29,38","30,63","5,44","680,11","793,22","827,07","146,96"
4508,1/7/2025,4508 - Puerta De Cuartos (Talavera De La Reina),R10,Z55,Puerta De Cuartos (Talavera De La Reina),Veterana,NTC30,Veterana,27,"1.597,89",43.143,"560,11","579,74","19,63","0,3567","0,3692","0,0417","0,0542","8,39","9,34","9,66","1,27","226,5","252,05","260,88","34,38"
4522,1/7/2025,4522 - Alday (Camargo),R09,Z51,Alday (Camargo),Veterana,NTC120,Veterana,25,"7.136,32",178.408,"2.437,72","2.588,04","150,32","0,3419","0,3629","0,0269","0,0479","37,47","40,63","43,13","5,67","936,64","1.015,72","1.078,35","141,71"
4534,1/7/2025,4534 - Torrero (Zaragoza),R08,Z22,Torrero (Zaragoza),Veterana,NTC60,Veterana,27,"2.102,48",56.767,"610,22","640,04","29,81","0,2938","0,3077","-0,02",-0,"11,04","10,17","10,67","-0,37","298,03","274,6","288,02","-10,01"
4537,1/7/2025,4537 - Avda. Fuerzas Armadas (Lorca),R07,Z48,Avda. Fuerzas Armadas (Lorca),Veterana,NTC60,Veterana,27,"3.045,3",82.223,"989,7","1.025,52","35,81","0,3265","0,3381","0,0115","0,0231","15,99","16,5","17,09","1,1","431,67","445,37","461,48","29,81"
4544,1/7/2025,4544 - C. C. Jaén Plaza (Jaen),R06,Z47,C. C. Jaén Plaza (Jaen),Veterana,NTC150,Veterana,27,"6.221,93",167.992,"2.043,48","2.082,22","38,74","0,3283","0,3344","0,0133","0,0194","32,66","34,06","34,7","2,04","881,96","919,57",937,"55,04"
4556,1/7/2025,4556 - Paseo Del Muelle (Talavera De La Reina),R10,Z55,Paseo Del Muelle (Talavera De La Reina),Veterana,NTC60,No veterana,27,"737,04",19.900,"257,3","261,63","4,33","0,356","0,3616","0,041","0,0466","3,87","4,29","4,36","0,491","104,47","115,78","117,73","13,26"
4558,1/7/2025,4558 - Avda. Castellón (Almassora),R03,Z13,Avda. Castellón (Almassora),Veterana,NTC90,Veterana,27,"6.564,19",177.233,"2.144,11","2.208,22","64,11","0,328","0,3376","0,013","0,0226","34,46","35,73","36,8","2,34","930,47","964,85","993,7","63,23"
4562,1/7/2025,4562 - C/ Acero (Merida),R10,Z31,C/ Acero (Merida),Veterana,NTC90,Veterana,27,"3.365,15",90.859,"1.214,7","1.265,67","50,96","0,3631","0,3782","0,0481","0,0632","17,67","20,25","21,09","3,43","477,01","546,62","569,55","92,54"
4568,1/7/2025,4568 - Polígono Santa Mª De Benquerencia (Toledo),R10,Z55,Polígono Santa Mª De Benquerencia (Toledo),Veterana,NTC90,Veterana,27,"3.128,7",84.475,"1.116,67","1.191,04","74,37","0,3632","0,3864","0,0482","0,0714","16,43","18,61","19,85","3,42","443,49","502,5","535,97","92,47"
4569,1/7/2025,4569 - Monzón (Monzón),R08,Z44,Monzón (Monzón),Veterana,NTC60,Veterana,27,"1.530,59",41.326,"529,52",547,"17,48","0,3543","0,3653","0,0393","0,0503","8,04","8,82","9,12","1,08","216,96","238,28","246,15","29,19"
4570,1/7/2025,4570 - Vecindario (Santa Lucia De Tirajana),R05,Z28,Vecindario (Santa Lucia De Tirajana),Veterana,NTC90,Veterana,27,"4.201,96",113.453,1.435,"1.504,33","69,33","0,3435","0,3599","0,0285","0,0449","22,06","23,92","25,07","3,01","595,63","645,75","676,95","81,32"
