nivel,tienda,mes,area_batch,estado_veterana,n_dias,n_lotes,uds_total,uds_media_lote,p1_min_medio,p2_min_medio,p3_min_medio,p23_min_medio,p4_min_medio,p5_min_medio,p6_min_medio,p7_min_medio,prep_min_medio,total_min_util_medio,p1_ef_min_medio,p2_ef_min_medio,p3_ef_min_medio,p23_ef_min_medio,p4_ef_min_medio,p5_ef_min_medio,p6_ef_min_medio,p7_ef_min_medio,prep_ef_min_medio,total_min_efec_medio,p1_par_min_medio,p2_par_min_medio,p3_par_min_medio,p23_par_min_medio,p4_par_min_medio,p5_par_min_medio,p6_par_min_medio,p7_par_min_medio,prep_par_min_medio,total_min_paradas_medio,p1_pct_medio,p2_pct_medio,p3_pct_medio,p23_pct_medio,p4_pct_medio,p5_pct_medio,p6_pct_medio,p7_pct_medio,prep_pct_medio,p1_ef_pct_medio,p2_ef_pct_medio,p3_ef_pct_medio,p23_ef_pct_medio,p4_ef_pct_medio,p5_ef_pct_medio,p6_ef_pct_medio,p7_ef_pct_medio,prep_ef_pct_medio,p1_par_pct_medio,p2_par_pct_medio,p3_par_pct_medio,p23_par_pct_medio,p4_par_pct_medio,p5_par_pct_medio,p6_par_pct_medio,p7_par_pct_medio,prep_par_pct_medio,prod_total_min_ud_media,prod_efectiva_min_ud_media,uph_total_media,uph_efec_media,prod_real_oficial,prod_efec_oficial
tienda_mes,3964,1/5/2026,PENDIENTES,Veterana,23,90,482,"4,61","0,4763","0,3383","0,417",0,0,"0,3511","1,26","2,55","0,7553","5,39","0,3736","0,3383","0,417",0,0,"0,3511","1,26","0,559","0,7553","3,3","0,1027",0,0,0,0,0,0,"1,99",0,"2,09","0,1113","0,0771","0,0772",0,0,"0,1027","0,2897","0,3421","0,1542","0,1455","0,1027","0,102",0,0,"0,1331","0,3684","0,1483","0,2047","0,0833",0,0,0,0,0,0,"0,9167",0,"1,43","0,8004","68,92","89,88",,
tienda_mes,4028,1/5/2026,GLOBAL,Liebre,24,,99.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3064","0,2769"
tienda_mes,4028,1/5/2026,SECOS,Veterana,24,350,52.501,"149,23","0,5117","14,3","22,27",0,0,"0,3082","0,6541","7,2","36,57","45,24","0,4906","14,28","21,91",0,0,"0,3082","0,5885","1,06","36,19","38,64","0,0211","0,0191","0,3569",0,0,0,"0,0656","6,13","0,376","6,59","0,0114","0,3162","0,4914",0,0,"0,0068","0,0144","0,1598","0,8077","0,0128","0,3698","0,5669",0,0,"0,0079","0,0151","0,0275","0,9367","0,0031","0,0035","0,0449",0,0,0,"0,0097","0,9388","0,0484","0,3041","0,2596","197,9","231,91",,
tienda_mes,4028,1/5/2026,REFRIGERADO,Veterana,24,166,17.798,"106,76","0,3029","7,44","10,97",0,0,"0,7186","2,6","3,07","18,41","25,1","0,1553","7,39","10,83",0,0,"0,7186","2,6","2,24","18,22","23,94","0,1476","0,0474","0,1379",0,0,0,0,"0,8349","0,1854","1,17","0,0116","0,296","0,4384",0,0,"0,0287","0,103","0,1222","0,7344","0,0066","0,3085","0,4526",0,0,"0,0301","0,1083","0,0939","0,7611","0,1369","0,0504","0,1519",0,0,0,0,"0,6608","0,2023","0,2369","0,226","255,35","268,46",,
tienda_mes,4028,1/5/2026,CONGELADO,Veterana,24,126,5.583,"44,09","0,3902","3,47","6,48",0,0,"0,7131","2,14","2,98","9,95","16,17","0,3902","3,47","6,48",0,0,"0,7131","2,05","2,26","9,95","15,36",0,0,0,0,0,0,"0,0883","0,7231",0,"0,8114","0,025","0,2142","0,4006",0,0,"0,0438","0,1323","0,1841","0,6148","0,0261","0,2243","0,4223",0,0,"0,0463","0,1341","0,147","0,6466",0,0,0,0,0,0,"0,1","0,9",0,"0,3703","0,3512","163,88","172,42",,
tienda_mes,4028,1/5/2026,FRESCOS,Veterana,24,142,10.737,"75,66","0,316",0,0,"18,81","1,38","1,11","3,75","4,4","18,81","29,78","0,316",0,0,"18,68","1,38","1,11","3,75","2,73","18,68","27,97",0,0,0,"0,1306",0,0,0,"1,68","0,1306","1,81","0,0107",0,0,"0,6309","0,0461","0,0372","0,1267","0,1484","0,6309","0,0114",0,0,"0,668","0,0491","0,0398","0,1348","0,097","0,668",0,0,0,"0,0657",0,0,0,"0,9343","0,0657","0,395","0,3708","152,47","162,55",,
tienda_mes,4028,1/5/2026,FYV,Veterana,24,124,10.705,"87,01","0,7664",0,0,"11,1","4,65","1,09","3,43","4,23","11,1","25,26","0,7664",0,0,"11,1","4,65","1,09","3,43","2,72","11,1","23,75",0,0,0,0,0,0,0,"1,51",0,"1,51","0,0304",0,0,"0,4389","0,184","0,0433","0,1362","0,1672","0,4389","0,0324",0,0,"0,4673","0,1956","0,046","0,1445","0,1142","0,4673",0,0,0,0,0,0,0,1,0,"0,2979","0,2791","206,19","219,14",,
tienda_mes,4028,1/5/2026,HORNO,Veterana,24,87,2.263,"26,02","0,2814","1,82","1,93",0,0,"0,8969","4,16","0,7293","3,75","9,82","0,2814","1,82","1,93",0,0,"0,8969","4,16","0,6658","3,75","9,76",0,0,0,0,0,0,0,"0,0635",0,"0,0635","0,0284","0,1859","0,1937",0,0,"0,0899","0,43","0,0722","0,3795","0,0285","0,1871","0,1951",0,0,"0,0904","0,4321","0,0668","0,3822",0,0,0,0,0,0,0,1,0,"0,3841","0,3821","160,8","161,94",,
tienda_mes,4028,1/5/2026,PENDIENTES,Veterana,23,43,202,"4,83","0,2153","0,4452","0,4129",0,0,"0,4257","1,52","3,08","0,8581","6,11","0,2153","0,4452","0,4129",0,0,"0,4257","1,52","1,88","0,8581","4,9",0,0,0,0,0,0,0,"1,2",0,"1,2","0,0368","0,073","0,0609",0,0,"0,073","0,2478","0,5084","0,1339","0,0478","0,0964","0,0706",0,0,"0,1098","0,2923","0,3831","0,167",0,0,0,0,0,0,0,1,0,"1,74","1,36",49,"61,91",,
tienda_mes,4065,1/5/2026,GLOBAL,Liebre,24,,69.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3056","0,2966"
